mysqladmin -P3306 -uroot -p -h127.0.0.1 -r -i 1 extended-status
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                 | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Aborted_clients                               | 14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Aborted_connects                              | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Binlog_cache_disk_use                         | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Binlog_cache_use                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Binlog_stmt_cache_disk_use                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Binlog_stmt_cache_use                         | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Bytes_received                                | 22288                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Bytes_sent                                    | 3625419                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Com_admin_commands                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_assign_to_keycache                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_db                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_db_upgrade                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_event                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_function                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_instance                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_procedure                           | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_server                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_table                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_tablespace                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_alter_user                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_analyze                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_begin                                     | 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_binlog                                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_call_procedure                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_change_db                                 | 73                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_change_master                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_change_repl_filter                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_check                                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_checksum                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_commit                                    | 16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_create_db                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_event                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_function                           | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_index                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_procedure                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_server                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_table                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_trigger                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_udf                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_create_user                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
